"iso3c","year","arr_nr","fdi_ofgdp","std_totald","debts_ratio","res_im","tr_bal_gdp","gdpdefl","gdppc","gdppc_gr","ex_rate","pop","quotash","country_nr","logpop","loggdppc","arrtype","apprdate","prtype","t_access","canc","comments","IMF_program","avg_part_yr","avg_yr_loansize","logavg_yr_loansize","meanv_US","meanv_CHN","el_democr","IM_fromUS","EX_toUS","IM_fromCHN","EX_toCHN","sh_aid","unsc","sumtok_AIV","sumsent_AIV","sumstok_P","sumssent_P","BRI_part"
"AFG",2011,675,0.293038432389243,3.2314,0.323576197641919,10.3439728750425,NA,16.593346721495,528.736648057768,-2.6810808487635,46.747007738581,30117413,0.068,1,17.220614067433,6.27049047814145,"ECF","2011-11-14","P1",85,"N","The IMF-supported economic program’s key objectives are to make significant progress toward a stable and sustainable macroeconomic position while managing the challenges of the withdrawal of the international presence in Afghanistan; strengthening the banking system and addressing the governance and accountability issues highlighted by the Kabul Bank crisis; moving toward fiscal sustainability; and improving the transparency and efficiency of public spending and services to protect the poor.",1,5,21.25,3.05635689537043,0.398989898989899,0.833333333333333,0.375,0.1972,0.0012,0.0121,3e-04,0.241248341961675,0,72517,2365,NA,NA,0
"AFG",2012,675,0.284095593578656,4.3868,0.598264391416967,8.67720885361815,NA,7.30175647720739,576.190125450699,8.97487956759655,50.9214,31161376,0.068,1,17.2546899371703,6.3564376851393,"ECF","2011-11-14","P1",85,"N","The IMF-supported economic program’s key objectives are to make significant progress toward a stable and sustainable macroeconomic position while managing the challenges of the withdrawal of the international presence in Afghanistan; strengthening the banking system and addressing the governance and accountability issues highlighted by the Kabul Bank crisis; moving toward fiscal sustainability; and improving the transparency and efficiency of public spending and services to protect the poor.",1,5,21.25,3.05635689537043,0.331521739130435,0.809782608695652,0.38,0.0985,0.0016,0.0226,3e-04,0.218402646530049,0,NA,NA,53665,1740,0
"AFG",2013,675,0.234965140617877,4.0923,1.58652611431531,8.58813766628177,NA,4.82278547610319,587.565090150175,1.97416862890145,55.3775,32269589,0.068,1,17.2896358276595,6.37598703162634,"ECF","2011-11-14","P1",85,"N","The IMF-supported economic program’s key objectives are to make significant progress toward a stable and sustainable macroeconomic position while managing the challenges of the withdrawal of the international presence in Afghanistan; strengthening the banking system and addressing the governance and accountability issues highlighted by the Kabul Bank crisis; moving toward fiscal sustainability; and improving the transparency and efficiency of public spending and services to protect the poor.",1,4,21.25,3.05635689537043,0.147540983606557,0.885245901639344,0.376,0.0894,0.002,0.0149,5e-04,0.216063265614949,0,NA,NA,NA,NA,1
"AFG",2014,675,0.209790107431935,6.8807,1.93817780133484,10.7026948461815,NA,0.56694453983522,583.656192833123,-0.665270517697508,57.2475,33370794,0.068,1,17.3231916442713,6.36931209856774,"ECF","2011-11-14","P1",85,"N","The IMF-supported economic program’s key objectives are to make significant progress toward a stable and sustainable macroeconomic position while managing the challenges of the withdrawal of the international presence in Afghanistan; strengthening the banking system and addressing the governance and accountability issues highlighted by the Kabul Bank crisis; moving toward fiscal sustainability; and improving the transparency and efficiency of public spending and services to protect the poor.",1,4,21.25,3.05635689537043,0.20625,0.84375,0.376,0.0489,0.003,0.0168,9e-04,0.169681659983098,0,NA,NA,NA,NA,1
"AFG",2015,NA,0.849679315295404,11.0823,3.31844318968037,9.77019396043118,NA,2.44756300761826,574.184114271259,-1.62288667166976,61.1434615416667,34413603,0.068,1,17.3539624802259,6.35295010145831,NA,NA,NA,NA,NA,NA,0,4,NA,NA,0.179487179487179,0.782051282051282,0.374,0.0319,0.0011,0.0159,7e-04,0.192121742437755,0,52489,1812,NA,NA,1
"AFG",2016,745,0.5194395532767,13.6576,4.37308774385413,11.8280603760738,NA,-2.19752646755639,571.07377452356,-0.541697283221794,67.8660857692308,35383128,0.068,1,17.3817456543198,6.34751840362808,"ECF","2016-07-20","P1",32.38,"N","The Executive Board of the International Monetary Fund (IMF) completed the Fifth Review of the Extended Credit Facility (ECF) arrangement supporting Afghanistan’s economic program. 
In completing the Fifth Review, the Executive Board also approved the authorities’ request for modification of three performance criteria: revenue, reserve money, and net credit to the government reflecting updates to the macroeconomic framework.
",1,4,8.095,2.0912465871296,0.429824561403509,0.763157894736842,0.351,0.063,0.0015,0.0205,3e-04,0.0925786365559412,0,NA,NA,96998,3343,1
"AFG",2017,745,0.273100398085362,17.0628,4.38145622949794,12.1342766418313,NA,2.403656184075,571.440690906349,0.0642502596261778,68.0269040822312,36296400,0.068,1,17.4072291207633,6.34816069990792,"ECF","2016-07-20","P1",32.38,"N","The Executive Board of the International Monetary Fund (IMF) completed the Fifth Review of the Extended Credit Facility (ECF) arrangement supporting Afghanistan’s economic program. 
In completing the Fifth Review, the Executive Board also approved the authorities’ request for modification of three performance criteria: revenue, reserve money, and net credit to the government reflecting updates to the macroeconomic framework.
",1,4,8.095,2.0912465871296,0.294573643410853,0.697674418604651,0.345,0.0609,6e-04,0.0239,2e-04,0.110939982989625,0,60185,1841,46630,1550,1
"AFG",2018,745,0.650734876563689,16.1916,3.33306849551252,12.1842895852704,NA,2.07134858278808,564.609991742901,-1.19534700138595,72.083247177304,37172386,0.068,1,17.4310767317656,6.33613521269238,"ECF","2016-07-20","P1",32.38,"N","The Executive Board of the International Monetary Fund (IMF) completed the Fifth Review of the Extended Credit Facility (ECF) arrangement supporting Afghanistan’s economic program. 
In completing the Fifth Review, the Executive Board also approved the authorities’ request for modification of three performance criteria: revenue, reserve money, and net credit to the government reflecting updates to the macroeconomic framework.
",1,5,8.095,2.0912465871296,0.191489361702128,0.776595744680851,0.344,0.0737,0.0011,0.0268,0.0011,0.110508087160265,0,NA,NA,94824,2649,1
"AFG",2019,745,0.12132303904302,15.7742,2.97396271923147,13.748961538324,NA,6.52147984504097,573.287551042738,1.536912103353,77.7379491783367,38041754,0.068,1,17.454194903937,6.35138742511855,"ECF","2016-07-20","P1",32.38,"N","The Executive Board of the International Monetary Fund (IMF) completed the Fifth Review of the Extended Credit Facility (ECF) arrangement supporting Afghanistan’s economic program. 
In completing the Fifth Review, the Executive Board also approved the authorities’ request for modification of three performance criteria: revenue, reserve money, and net credit to the government reflecting updates to the macroeconomic framework.
",1,5,8.095,2.0912465871296,NA,NA,0.346,NA,NA,NA,NA,0.103008285129077,0,NA,NA,NA,NA,1
"AGO",2011,623,-2.70487471739953,17.8488,5.79379614998649,6.0305602882839,21.3573890242463,31.7715491882555,3579.95990738589,-0.220851379354897,93.93475,24220661,0.12,2,17.0027165872114,8.18310688027782,"SBA","2009-11-23","P1",858.9,"N","At R0, the program, to be supported by a proposed 27-month
Stand-By Arrangement aims to alleviate immediate liquidity pressures, boost market confidence, and restore a sustainable
macroeconomic position. On Feb. 8, 2012, the Executive Board approved a request by Angola to extend the country’s Stand-By Arrangement (SBA) until March 30, 2012, to allow time for the sixth and final review. This decision was taken on a lapse of time basis.",1,4,429.45,6.06250532021223,0.414141414141414,0.767676767676768,0.31,0.1015,0.6111,0.1467,1.4295,0.00143392680188644,0,NA,NA,62104,1986,0
